UserId,StatusId,ServerId,OnDate,StartTime,EndTime,Duration,UpdateTime,TimeZone
maxim,הפסקה,AMAN-SUPPORT,10/05/2026,2026-05-10 09:43:25.727,2026-05-10 09:43:33.697,7970,2026-05-10 08:43:33.697,+02:00
eran.plotkin,SIGNOFF,AMAN-SUPPORT,10/05/2026,2026-05-10 09:42:38.267,2026-05-10 14:58:33.120,18954854,2026-05-10 13:58:33.120,+02:00
eran.plotkin,SIGNOFF,AMAN-SUPPORT,13/05/2026,2026-05-13 14:28:04.690,2026-05-13 14:47:43.627,1178936,2026-05-13 13:47:43.647,+02:00
eran.plotkin,זמין,AMAN-SUPPORT,13/05/2026,2026-05-13 14:47:43.627,2026-05-13 14:47:51.440,7814,2026-05-13 13:47:51.450,+02:00
eran.plotkin,Incoming Ext Call,AMAN-SUPPORT,13/05/2026,2026-05-13 14:47:51.440,2026-05-13 14:51:42.280,230840,2026-05-13 13:51:42.290,+02:00
eran.plotkin,Wrap Up,AMAN-SUPPORT,13/05/2026,2026-05-13 14:51:42.280,2026-05-13 14:52:06.507,24226,2026-05-13 13:52:06.507,+02:00
eran.plotkin,זמין,AMAN-SUPPORT,13/05/2026,2026-05-13 14:52:06.507,2026-05-13 14:52:37.580,31074,2026-05-13 13:52:37.583,+02:00
eran.plotkin,Ringing,AMAN-SUPPORT,07/05/2026,2026-05-07 12:55:44.707,2026-05-07 12:56:13.010,28304,2026-05-07 11:56:13.013,+02:00
eran.plotkin,זמין,AMAN-SUPPORT,07/05/2026,2026-05-07 12:56:13.010,2026-05-07 12:56:24.157,11146,2026-05-07 11:56:24.163,+02:00
eran.plotkin,Incoming Ext Call,AMAN-SUPPORT,07/05/2026,2026-05-07 12:56:24.157,2026-05-07 12:56:26.270,2114,2026-05-07 11:56:26.273,+02:00
eran.plotkin,Wrap Up,AMAN-SUPPORT,07/05/2026,2026-05-07 12:56:26.270,2026-05-07 12:56:30.943,4673,2026-05-07 11:56:30.943,+02:00
eran.plotkin,זמין,AMAN-SUPPORT,07/05/2026,2026-05-07 12:56:30.943,2026-05-07 12:56:38.460,7517,2026-05-07 11:56:38.473,+02:00
eran.plotkin,זמין,AMAN-SUPPORT,10/05/2026,2026-05-10 14:58:33.120,2026-05-10 14:58:54.567,21446,2026-05-10 13:58:54.573,+02:00
eran.plotkin,Incoming Ext Call,AMAN-SUPPORT,10/05/2026,2026-05-10 14:58:54.567,2026-05-10 15:56:17.257,3442690,2026-05-10 14:56:17.263,+02:00
