"MetricId","Description","DataType","MetricFunction","MetricParameter","MetricFormat","DefaultValue","ValueType","MetricType"
QueueNumActiveCallsAndCallbacks,QM - Number of Active Calls and Callbacks in Queue,Interactions Summary,InteractionsCount,"CallType==""External"" && Direction==""Incoming""&& (InteractionType==""Call"" || InteractionType==""Callback"")&& IsTalk",,,String,Agent
QueueNumActiveChats,QM - Number of Active Chats in Queue,Interactions Summary,InteractionsCount,"(InteractionType==""Chat"") && (CallType==""External"")  && Direction == ""Incoming"" && IsTalk",,,String,Agent
QueueNumActiveInteractions,QM - Number of Active Interactions in Queue,Interactions Summary,InteractionsCount,"(CallType==""External"")  && Direction == ""Incoming"" && IsTalk && (InteractionType==""Chat"" || InteractionType==""email"")",,,String,Agent
QueueNumOnCallAgents,QM - Number of On Call Agents in Queue Skill,Interactions Summary,UsersInStatusGroupCount,ONPHONE,,,String,Agent
QueueAvgTalkingDurationCalls,QM - Average Talking Duration of Calls,Interactions Summary,TalkDurationAvg,"(InteractionType==""Call"") && (CallType==""External"")  && Direction == ""Incoming"" && !IsTalk && !IsInQueue",,,String,Agent
QueueAvgTalkingDurationCallbacks,QM - Average Talking Duration of Callbacks,Interactions Summary,TalkDurationAvg,"(InteractionType==""Callback"") && (CallType==""External"")  && Direction == ""Incoming"" && !IsTalk && !IsInQueue",,,String,Agent
QueueAvgTalkingDurationCallsAndCallbacks,QM - Average Talking Duration of Calls and Callbacks,Interactions Summary,TalkDurationAvg,"(InteractionType==""Call"" || InteractionType==""Callback"") && (CallType==""External"")  && Direction == ""Incoming"" && !IsTalk && !IsInQueue",,,String,Agent
QueueAvgTalkingDurationChats,QM - Average Talking Duration of Chats,Interactions Summary,TalkDurationAvg,"(InteractionType==""Chat"") && (CallType==""External"")  && Direction == ""Incoming"" && !IsTalk && !IsInQueue",,,String,Agent
QueueAvgTalkingDurationInteractions,QM - Average Talking Duration of Interactions,Interactions Summary,TalkDurationAvg,"(CallType==""External"")  && Direction == ""Incoming"" && !IsTalk && !IsInQueue",,,String,Agent
QueuePctAnsweredCalls30secInc,QM - Percent of Answered Calls in 30 sec from Incoming,Interactions Summary,Calc,[QueueNumIncomingCompletedCalls]==0 ? 0 : ((double)[QueueNumAnsweredCalls30sec]/[QueueNumIncomingCompletedCalls]),##0.0%,,String,Agent
QueuePctAnsweredCallbacks30secInc,QM - Percent of Answered Callbacks in 30 sec from Incoming,Interactions Summary,Calc,[QueueNumIncomingCompletedCallbacks]==0 ? 0 : ((double)[QueueNumAnsweredCallbacks30sec]/[QueueNumIncomingCompletedCallbacks]),##0.0%,,String,Agent
QueuePctAnsweredCallsAndCallbacks30secInc,QM - Percent of Answered Calls and Callbacks in 30 sec from Incoming,Interactions Summary,Calc,[QueueNumIncomingCompletedCallsAndCallbacks]==0 ? 0 : ((double)[QueueNumAnsweredCallsAndCallbacks30sec]/[QueueNumIncomingCompletedCallsAndCallbacks]),##0.0%,,String,Agent
QueuePctAnsweredChats30secInc,QM - Percent of Answered Chats in 30 sec from Incoming,Interactions Summary,Calc,[QueueNumIncomingCompletedChats]==0 ? 0 : ((double)[QueueNumAnsweredChats30sec]/[QueueNumIncomingCompletedChats]),##0.0%,,String,Agent
QueuePctAnsweredInteractions30secInc,QM - Percent of Answered Interactions in 30 sec from Incoming,Interactions Summary,Calc,[QueueNumIncomingCompletedInteractions]==0 ? 0 : ((double)[QueueNumAnsweredInteractions30sec]/[QueueNumIncomingCompletedInteractions]),##0.0%,,String,Agent
QueuePctAnsweredCalls30secAns,QM - Percent of Answered Calls in 30 sec from Answered,Interactions Summary,Calc,[QueueNumAnsweredCalls]==0 ? 0 : ((double)[QueueNumAnsweredCalls30sec]/[QueueNumAnsweredCalls]),##0.0%,,String,Agent
QueuePctAnsweredCallbacks30secAns,QM - Percent of Answered Callbacks in 30 sec from Answered,Interactions Summary,Calc,[QueueNumAnsweredCallbacks]==0 ? 0 : ((double)[QueueNumAnsweredCallbacks30sec]/[QueueNumAnsweredCallbacks]),##0.0%,,String,Agent
QueuePctAnsweredCallsAndCallbacks30secAns,QM - Percent of Answered Calls and Callbacks in 30 sec from Answered,Interactions Summary,Calc,[QueueNumAnsweredCallsAndCallbacks]==0 ? 0 : ((double)[QueueNumAnsweredCallsAndCallbacks30sec]/[QueueNumAnsweredCallsAndCallbacks]),##0.0%,,String,Agent
QueuePctAnsweredChats30secAns,QM - Percent of Answered Chats in 30 sec from Answered,Interactions Summary,Calc,[QueueNumAnsweredChats]==0 ? 0 : ((double)[QueueNumAnsweredChats30sec]/[QueueNumAnsweredChats]),##0.0%,,String,Agent
QueuePctAnsweredInteractions30secAns,QM - Percent of Answered Interactions in 30 sec from Answered,Interactions Summary,Calc,[QueueNumAnsweredInteractions]==0 ? 0 : ((double)[QueueNumAnsweredInteractions30sec]/[QueueNumAnsweredInteractions]),##0.0%,,String,Agent
