"MetricId","Description","DataType","MetricFunction","MetricParameter","MetricFormat","DefaultValue","ValueType","MetricType"
MonAgentTalkDuration,Agent - Cumulative Talk Duration,User,TotalStatusGroupDuration,ONPHONE,,,String,Agent
MonAgentTalkDurationPct,Agent - Cumlative Talk Duration Percent,User,TotalStatusGroupPercent,ONPHONE,,,String,Agent
MonAgentActiveInteractionId,Agent - Active Interction ID,User,LongestInteractionId, ,,,String,Agent
QueueNumCompletedCallbacks,QM - Number of Completed Callbacks ,Interactions Summary,InteractionsCount,"(InteractionType==""Callback"") && (CallType==""External"")  && Direction == ""Outgoing"" && IsAnswered",,,String,Agent
QueueNumAcceptedCallbacks,QM - Number of Accepted Callbacks ,Interactions Summary,InteractionsCount,"(InteractionType==""Callback"") && (CallType==""External"")  && Direction == ""Incoming"" && IsAnswered",,,String,Agent
QueueNumIncomingOnlineCalls,QM - Number of Incoming Calls including Waiting,Interactions Summary,InteractionsCount,"(InteractionType==""Call"") && (CallType==""External"")  && Direction == ""Incoming""",,,String,Agent
QueueNumIncomingOnlineCallbacks,QM - Number of Incoming Callbacks including Waiting,Interactions Summary,InteractionsCount,"(InteractionType==""Callback"") && (CallType==""External"")  && Direction == ""Incoming""",,,String,Agent
QueueNumIncomingOnlineCallsAndCallbacks,QM - Number of Incoming Calls and Callbacks including Waiting,Interactions Summary,InteractionsCount,"(InteractionType==""Call"" || InteractionType==""Callback"") && (CallType==""External"")  && Direction == ""Incoming""",,,String,Agent
QueueNumIncomingOnlineChats,QM - Number of Incoming Chats including Waiting,Interactions Summary,InteractionsCount,"(InteractionType==""Chat"")  && Direction == ""Incoming""",,,String,Agent
QueueNumIcomingOnlineInteractions,QM - Number of Incoming Interactions including Waiting,Interactions Summary,InteractionsCount,"(CallType==""External"")  && Direction == ""Incoming"" && (InteractionType==""Chat"" || InteractionType==""email"")",,,String,Agent
QueueNumAbandonefCalls,QM - Number of Abandoned Calls,Interactions Summary,InteractionsCount,"(InteractionType==""Call"") && (CallType==""External"")  && Direction == ""Incoming"" && IsAbandoned && !IsCallbackRequest",,,String,Agent
QueueNumAbandonefCallbacks,QM - Number of Abandoned Callbacks,Interactions Summary,InteractionsCount,"(InteractionType==""Callback"") && (CallType==""External"")  && Direction == ""Incoming"" && IsAbandoned && !IsCallbackRequest",,,String,Agent
QueueNumAbandonedCallsAndCallbacks,QM - Number of Abandoned Calls and Callbacks,Interactions Summary,InteractionsCount,"(InteractionType==""Call"" || InteractionType==""Callback"") && (CallType==""External"")  && Direction == ""Incoming"" && IsAbandoned && !IsCallbackRequest",,,String,Agent
QueueNumAbandonedChats,QM - Number of Abandoned Chats,Interactions Summary,InteractionsCount,"(InteractionType==""Chat"") && (CallType==""External"")  && Direction == ""Incoming"" && IsAbandoned && !IsCallbackRequest",,,String,Agent
QueueNumAbandonedInteractions,QM - Number of Abandoned Interactions,Interactions Summary,InteractionsCount,"(CallType==""External"")  && Direction == ""Incoming"" && IsAbandoned && !IsCallbackRequest && (InteractionType==""Chat"" || InteractionType==""email"")",,,String,Agent
QueueNumCallbackRequests,QM - Number of Callback Requests,Interactions Summary,InteractionsCount,"(CallType==""External"")  && Direction == ""Incoming"" && IsCallbackRequest",,,String,Agent
QueueNumAnsweredCalls,QM - Number of Answered Calls,Interactions Summary,InteractionsCount,"(InteractionType==""Call"") && (CallType==""External"")  && Direction == ""Incoming"" && IsAnswered",,,String,Agent
QueueNumAnsweredCalls60sec,QM - Number of Answered Calls in 60 sec,Interactions Summary,InteractionsCount,"(InteractionType==""Call"") && (CallType==""External"")  && Direction == ""Incoming"" && IsAnswered && TimeInQueue<60",,,String,Agent
MonSumAgentsBreakDurationMax,Agent Group - Max duration of  Break State Group,UsersSummary,UsersInStatusGroupDurationCurMax,BREAK,,,String,Agent
MonAgentNumChatsCompleted,Agent - Number of Answered Chats,User,InteractionsCount,"InteractionType==""Chat"" && Direction==""Incoming"" && !IsTalk && !IsInQueue && IsAnswered",,,String,Agent
QueueBaseAnsweredPct,QM - Base Answered Percent,Interactions Summary,Calc,[QueueNumIncomingOnlineCalls]==0 ? 0 : ((double)[QueueNumAnsweredCalls]/[QueueNumIncomingOnlineCalls]),##0.0%,,String,Agent
QueueExclCallbackReqAnsweredPct,QM - Excluding Callback Requests Answered Percent,Interactions Summary,Calc,([QueueNumIncomingOnlineCalls]-[QueueNumCallbackRequests])==0 ? 0 : ((double)[QueueNumAnsweredCalls]/([QueueNumIncomingOnlineCalls]-[QueueNumCallbackRequests]),##0.0%,,String,Agent
QueueInclCallbackReqAnsweredPct,QM - Including Callback Requests Answered Percent,Interactions Summary,Calc,[QueueNumIncomingOnlineCalls]==0 ? 0 : ((double)([QueueNumAnsweredCalls]+[QueueNumCallbackRequests])/[QueueNumIncomingOnlineCalls]),##0.0%,,String,Agent
QueueInclCompCallbacksAnsweredPct,QM - Including Completed Callbacks Answered Percent,Interactions Summary,Calc,[QueueNumIncomingOnlineCalls]==0 ? 0 : ((double)([QueueNumAnsweredCalls]+[QueueNumCompletedCallbacks])/[QueueNumIncomingOnlineCalls]),##0.0%,,String,Agent
QueuePctAnsweredCalls60secIncLast30min,QM - Percent of Answered Calls in 60 sec Last 30 min from Incoming,Interactions Summary,Calc,[QueueNumIncomingCompletedCalls]==0 ? 0 : ((double)[QueueNumAnsweredCalls60sec]/[QueueNumIncomingCompletedCalls])&&InQueueDateTime>=DateTime.Now.AddHours(-0.5),##0.0%,,String,Agent
QueueNumOnlineChats,QM - Number of Chats,Interactions Summary,InteractionsCount,"InteractionType==""Chat""",,,String,Agent
UserNumMissedCalls,Agent - Number of Missed Calls,User,TotalStatusCount,Missed Call,,,String,Agent
QueueNumIncomingHandledInteractions,QM - Number of Completed Incoming Interactions,Interactions Summary,InteractionsCount,"  (CallType==""External"")  && Direction == ""Incoming"" && !IsTalk && !IsInQueue && !IsAbandoned && (InteractionType==""Chat"" || InteractionType==""email"")",,,String,Agent
QueueSLAIn30secFrom80PctInc,QM - Percent of Answered Calls in 30 sec from 80% Incoming,Interactions Summary,Calc,[QueueNumIncomingCompletedCalls]==0 ? 0 : ((double)[QueueNumAnsweredCalls30sec ]/([QueueNumIncomingCompletedCalls]*0.8)),##0.00%,,String,Agent
QueueNumWrapUpAgents,QM - Number of Wpap Up Agents in Queue Skill,Interactions Summary,UsersInStatusCount,Wrap Up,,,String,Agent
QueueCPH,QM - Calls per Hour,Interactions Summary,CPH,"InteractionType==""Call"" && Direction == ""Incoming""",F2,,String,Agent
UserCPH,Agent - Calls per Hour,User,CPH,"InteractionType==""Call"" && Direction == ""Incoming""",F2,,String,Agent
MessagesMaxFirstResponseTime,QM - Messages Max First Response Time,Interactions Summary,MessagesMaxFirstResponseTime,"Direction==""Incoming""",,,String,Agent
MessagesAvgFirstResponseTime,QM - Messages Avg First Response Time,Interactions Summary,MessagesAvgFirstResponseTime,"Direction==""Incoming""",,,String,Agent
MonAgentNumChatsActive,Agent - Number of Active Chats,User,InteractionsCount,"InteractionType==""Chat"" && IsTalk",,,String,Agent
MessagesAvgResponseTime,QM - Messages Avg Response Time,Interactions Summary,MessagesAvgResponseTime,"Direction==""Incoming""",,,String,Agent
AgentMessagesAvgResponseTime,Agent - Messages Avg Response Time,User,MessagesAvgResponseTime,"Direction==""Incoming""",,,String,Agent
AgentMessagesAvgFirstResponseTime,Agent - Messages Avg First Response Time,User,MessagesAvgFirstResponseTime,"Direction==""Incoming""",,,String,Agent
QueueNumAnsweredCallbacks,QM - Number of Answered Callbacks,Interactions Summary,InteractionsCount,"(InteractionType==""Callback"") && (CallType==""External"")  && Direction == ""Incoming"" && IsAnswered",,,String,Agent
QueueNumAnsweredCallsAndCallbacks,QM - Number of Answered Calls and Callbacks,Interactions Summary,InteractionsCount,"(InteractionType==""Call"" || InteractionType==""Callback"") && (CallType==""External"")  && Direction == ""Incoming"" && IsAnswered",,,String,Agent
QueueNumAnsweredChats,QM - Number of Answered Chats,Interactions Summary,InteractionsCount,"(InteractionType==""Chat"") && (CallType==""External"")  && Direction == ""Incoming"" && IsAnswered",,,String,Agent
QueueNumAnsweredInteractions,QM - Number of Answered Interactions,Interactions Summary,InteractionsCount,"(CallType==""External"")  && Direction == ""Incoming"" && IsAnswered && (InteractionType==""Chat"" || InteractionType==""email"")",,,String,Agent
QueueNumIncomingCompletedCalls,QM - Number of Incoming Calls exluding Waiting,Interactions Summary,InteractionsCount,"(InteractionType==""Call"") && (CallType==""External"")  && Direction == ""Incoming"" && !IsInQueue && !IsCallbackRequest",,,String,Agent
QueueNumIncomingCompletedCallbacks,QM - Number of Incoming Callbacks exluding Waiting,Interactions Summary,InteractionsCount,"(InteractionType==""Callback"") && (CallType==""External"")  && Direction == ""Incoming"" && !IsInQueue && !IsCallbackRequest",,,String,Agent
QueueNumIncomingCompletedCallsAndCallbacks,QM - Number of Incoming Calls and Callbacks exluding Waiting,Interactions Summary,InteractionsCount,"(InteractionType==""Call"" || InteractionType==""Callback"") && (CallType==""External"")  && Direction == ""Incoming"" && !IsInQueue && !IsCallbackRequest",,,String,Agent
QueueNumIncomingCompletedChats,QM - Number of Incoming Chats exluding Waiting,Interactions Summary,InteractionsCount,"(InteractionType==""Chat"") && (CallType==""External"")  && Direction == ""Incoming"" && !IsInQueue  && !IsCallbackRequest",,,String,Agent
QueueNumIncomingCompletedInteractions,QM - Number of Incoming Interactions exluding Waiting,Interactions Summary,InteractionsCount,"(CallType==""External"")  && Direction == ""Incoming"" && !IsInQueue  && !IsCallbackRequest && (InteractionType==""Chat"" || InteractionType==""email"")",,,String,Agent
QueueNumWaitingCalls,QM - Number of Waiting Calls,Interactions Summary,InteractionsCount,"(InteractionType==""Call"") && (CallType==""External"")  && Direction == ""Incoming"" && IsInQueue",,,String,Agent
QueueNumWaitingCallbacks,QM - Number of Waiting Callbacks,Interactions Summary,InteractionsCount,"(InteractionType==""Callback"") && (CallType==""External"")  && Direction == ""Incoming"" && IsInQueue",,,String,Agent
QueueNumWaitingCallsAndCallbacks,QM - Number of Waiting Calls and Callbacks,Interactions Summary,InteractionsCount,"(InteractionType==""Call"" || InteractionType==""Callback"") && (CallType==""External"")  && Direction == ""Incoming"" && IsInQueue",,,String,Agent
QueueNumWaitingChats,QM - Number of Waiting Chats,Interactions Summary,NumWaitings,"(InteractionType==""Chat"") && (CallType==""External"")  && Direction == ""Incoming""",,,String,Agent
QueueNumWaitingInteractions,QM - Number of Waiting Interactions,Interactions Summary,NumWaitings,"(CallType==""External"")  && Direction == ""Incoming"" && (InteractionType==""Chat"" || InteractionType==""email"")",,,String,Agent
QueueCurMaxWaitTimeCalls,QM - Current Max Wait Time of Calls in Queue,Interactions Summary,WaitDurationCurMax,"(InteractionType==""Call"") && (CallType==""External"")  && Direction == ""Incoming""",,,String,Agent
QueueCurMaxWaitTimeCallbacks,QM - Current Max Wait Time of Callbacks in Queue,Interactions Summary,WaitDurationCurMax,"(InteractionType==""Callback"") && (CallType==""External"")  && Direction == ""Incoming""",,,String,Agent
QueueCurMaxWaitTimeCallsAndCallbacks,QM - Current Max Wait Time of Calls and Callbacks in Queue,Interactions Summary,WaitDurationCurMax,"(InteractionType==""Call"" || InteractionType==""Callback"") && (CallType==""External"")  && Direction == ""Incoming""",,,String,Agent
QueueCurMaxWaitTimeChats,QM - Current Max Wait Time of Chats in Queue,Interactions Summary,WaitDurationCurMax,"(InteractionType==""Chat"") && (CallType==""External"")  && Direction == ""Incoming""",,,String,Agent
QueueCurMaxWaitTimeInteractions,QM - Current Max Wait Time of Interactions in Queue,Interactions Summary,WaitDurationCurMax,"(CallType==""External"")  && Direction == ""Incoming"" && (InteractionType==""Chat"" || InteractionType==""email"")",,,String,Agent
QueuePctAnsweredCallsTotal,QM - Percent of Answered Calls,Interactions Summary,Calc,[QueueNumIncomingCompletedCalls]==0 ? 0 : ((double)[QueueNumAnsweredCalls]/[QueueNumIncomingCompletedCalls]),##0.0%,,String,Agent
QueuePctAnsweredCallbacksTotal,QM - Percent of Answered Callbacks,Interactions Summary,Calc,[QueueNumIncomingCompletedCallbacks]==0 ? 0 : ((double)[QueueNumAnsweredCallbacks]/[QueueNumIncomingCompletedCallbacks]),##0.0%,,String,Agent
QueuePctAnsweredCallsAndCallbacksTotal,QM - Percent of Answered Calls and Callbacks,Interactions Summary,Calc,[QueueNumIncomingCompletedCallsAndCallbacks]==0 ? 0 : ((double)[QueueNumAnsweredCallsAndCallbacks]/[QueueNumIncomingCompletedCallsAndCallbacks]),##0.0%,,String,Agent
QueuePctAnsweredChatsTotal,QM - Percent of Answered Chats,Interactions Summary,Calc,[QueueNumIncomingCompletedChats]==0 ? 0 : ((double)[QueueNumAnsweredChats]/[QueueNumIncomingCompletedChats]),##0.0%,,String,Agent
QueuePctAnsweredInteractionsTotal,QM - Percent of Answered Interactions,Interactions Summary,Calc,[QueueNumIncomingCompletedInteractions]==0 ? 0 : ((double)[QueueNumAnsweredInteractions]/[QueueNumIncomingCompletedInteractions]),##0.0%,,String,Agent
QueuePctAbandonedCallsTotal,QM - Percent of Abandoned Calls,Interactions Summary,Calc,[QueueNumIncomingCompletedCalls]==0 ? 0 : ((double)[QueueNumAbandonedCalls]/[QueueNumIncomingCompletedCalls]),##0.0%,,String,Agent
QueuePctAbandonedCallbacksTotal,QM - Percent of Abandoned Callbacks,Interactions Summary,Calc,[QueueNumIncomingCompletedCallbacks]==0 ? 0 : ((double)[QueueNumAbandonedCallbacks]/[QueueNumIncomingCompletedCallbacks]),##0.0%,,String,Agent
QueuePctAbandonedCallsAndCallbacksTotal,QM - Percent of Abandoned Calls and Callbacks,Interactions Summary,Calc,[QueueNumIncomingCompletedCallsAndCallbacks]==0 ? 0 : ((double)[QueueNumAbandonedCallsAndCallbacks]/[QueueNumIncomingCompletedCallsAndCallbacks]),##0.0%,,String,Agent
QueuePctAbandonedInteractionsTotal,QM - Percent of Abandoned Interactions,Interactions Summary,Calc,[QueueNumIncomingCompletedInteractions]==0 ? 0 : ((double)[QueueNumAbandonedInteractions]/[QueueNumIncomingCompletedInteractions]),##0.0%,,String,Agent
QueuePctAbandonedChatsTotal,QM - Percent of Abandoned Chats,Interactions Summary,Calc,[QueueNumIncomingCompletedChats]==0 ? 0 : ((double)[QueueNumAbandonedChats]/[QueueNumIncomingCompletedChats]),##0.0%,,String,Agent
QueueNumAnsweredCalls30sec,QM - Number of Answered Calls in 30 sec,Interactions Summary,InteractionsCount,"(InteractionType==""Call"") && (CallType==""External"")  && Direction == ""Incoming"" && IsAnswered && TimeInQueue<30",,,String,Agent
